Layer Name,EPSG,x_min,y_min,x_max,y_max
govmap:layer_sites_employment_hitech_prod,3857,34.267416192413,29.4905654664584,35.8952877021841,33.3339712008214
govmap:layer_sites_employment_industry_prod,3857,34.267416192413,29.4905654664584,35.8952877021841,33.3339712008214
govmap:layer_sites_employment_mahat,3857,34.5716834363294,29.5549413517768,35.5907378389783,33.2354445232007
govmap:layer_sites_employment_private_prod,3857,34.267416192413,29.4905654664584,35.8952877021841,33.3339712008214
govmap:layer_sites_employment_public_prod,3857,34.267416192413,29.4905654664584,35.8952877021841,33.3339712008214
govmap:layer_sites_employment_trade_prod,3857,34.267416192413,29.4905654664584,35.8952877021841,33.3339712008214
govmap:layer_sites_employment_training,3857,34.5563424961139,29.5511669282992,35.7686326570242,33.2660187400009
govmap:layer_sites_employment_transportelectrconstruct_prod,3857,34.267416192413,29.4905654664584,35.8952877021841,33.3339712008214
govmap:layer_sites_fiber_deployment,3857,34.2809885332572,29.4905654664107,35.8416731527942,33.2993857674894
govmap:layer_sites_gushiml_reze_hek,3857,34.2674205836375,29.4552661796714,35.8953835619697,33.3352376632435
govmap:layer_sites_infrastructure_tunnel_test,3857,34.8293403686691,31.2769288010967,35.3501794470903,32.9348561364455
govmap:layer_sites_mahiya,3857,34.5639118841952,29.5530231634452,35.754764329862,33.2314769768986
govmap:layer_sites_mahozot_prod,3857,34.2673571567214,29.4904233654832,35.8953319768081,33.3340723296541
govmap:layer_sites_mesilot_barzel_1918_prod,3857,34.1657244215168,30.8119539995187,35.8661345073385,32.9271230781735
govmap:layer_sites_mesilot_barzel_2020_prod,3857,34.5564166341476,30.7976141814389,35.4911996830844,33.0056048098396
govmap:layer_sites_mh_gvul_all,3857,33.0116526939222,25.8907892973423,36.9414674172734,33.914140011483
govmap:layer_sites_model_yezug,3857,34.2670269229874,29.4926344051196,35.8953835619767,33.3351480519192
govmap:layer_sites_nadlan_leumi,3857,34.5146839165292,29.5358037914713,35.5587704487544,33.0833517430008
govmap:layer_sites_napot_prod,3857,34.2673571567125,29.4904233654832,35.8953319768081,33.3340723296541
